dataset,seed,label_fraction,k,graph_type,sigma_mf,sigma_rule,beta,acc_supervised_hybrid,acc_raw_space_lp,acc_mv_grf_late,acc_fap_late
load_K_chess_data_splitted,42,0.1,7,rbf,0.3,0.5,0.7,0.37733159082808604,0.4149934656053226,0.3061660924319829,0.3005821551621718
load_K_chess_data_splitted,42,0.1,15,rbf,0.5,0.7,0.5,0.37733159082808604,0.39954853273137697,0.3168587382677914,0.310086729238446
load_K_chess_data_splitted,42,0.1,7,connectivity,0.0,0.0,0.7,0.37733159082808604,0.4149934656053226,0.3058096709041226,0.2989188546988238
load_K_chess_data_splitted,42,0.1,15,connectivity,0.0,0.0,0.5,0.37733159082808604,0.39954853273137697,0.31495782345253653,0.3061660924319829
load_htru_data,42,0.1,7,rbf,0.3,0.5,0.7,0.43641025641025644,0.47333333333333333,0.4907692307692308,0.46512820512820513
load_htru_data,42,0.1,15,rbf,0.5,0.7,0.5,0.43641025641025644,0.47794871794871796,0.4553846153846154,0.4682051282051282
load_htru_data,42,0.1,7,connectivity,0.0,0.0,0.7,0.43641025641025644,0.47333333333333333,0.4917948717948718,0.4682051282051282
load_htru_data,42,0.1,15,connectivity,0.0,0.0,0.5,0.43641025641025644,0.47794871794871796,0.4553846153846154,0.4641025641025641
load_letter_data,42,0.1,7,rbf,0.3,0.5,0.7,0.7468333333333333,0.8281666666666667,0.7066666666666667,0.6438333333333334
load_letter_data,42,0.1,15,rbf,0.5,0.7,0.5,0.7468333333333333,0.789,0.6411666666666667,0.6056666666666667
load_letter_data,42,0.1,7,connectivity,0.0,0.0,0.7,0.7468333333333333,0.8281666666666667,0.6993333333333334,0.6386666666666667
load_letter_data,42,0.1,15,connectivity,0.0,0.0,0.5,0.7468333333333333,0.789,0.6386666666666667,0.6015
load_pmd_data,42,0.1,7,rbf,0.3,0.5,0.7,0.9263208772618796,0.07367912273812041,0.922635410687853,0.9194634927347974
load_pmd_data,42,0.1,15,rbf,0.5,0.7,0.5,0.9263208772618796,0.7040147418662961,0.9259281636105489,0.9242062652931758
load_pmd_data,42,0.1,7,connectivity,0.0,0.0,0.7,0.9263208772618796,0.07367912273812041,0.9236322991873849,0.9194634927347974
load_pmd_data,42,0.1,15,connectivity,0.0,0.0,0.5,0.9263208772618796,0.7040147418662961,0.9259281636105489,0.9242062652931758
