model,k,metric,acc
ANFIS_supervised_1,n/a,n/a,0.40358797671379354
Rule-GRF_1,15,euclidean,0.3762623262445052
MF-GRF_1,15,euclidean,0.42841867648805987
Raw-LP_1,15,euclidean,0.39954853273137697
FMV-CLP_1,15,euclidean,0.38291552809789714
MV-GRF_1,15,euclidean,0.39396459546156587
ANFIS_supervised_2,n/a,n/a,0.06379945348699062
Rule-GRF_2,15,euclidean,0.2462872757514554
MF-GRF_2,15,euclidean,0.347867411191636
Raw-LP_2,15,euclidean,0.39954853273137697
FMV-CLP_2,15,euclidean,0.3071165498396103
MV-GRF_2,15,euclidean,0.3115124153498871
