Dataset   ,Model       ,SSL_Meth      ,Lab_Frac    ,T_Acc     ,S_Acc     ,Sil_Firing_True
Shuttle   ,LabelProp   ,LabelProp     ,10          ,N/A       ,95.61     ,N/A            
Shuttle   ,LabelProp   ,LabelProp     ,20          ,N/A       ,98.58     ,N/A            
Shuttle   ,LabelProp   ,LabelProp     ,50          ,N/A       ,99.70     ,N/A            
Shuttle   ,HybridANFIS ,rule_based    ,10          ,N/A       ,92.10     ,0.0774         
Shuttle   ,HybridANFIS ,rule_based    ,20          ,N/A       ,97.94     ,-0.2010        
Shuttle   ,HybridANFIS ,rule_based    ,50          ,N/A       ,92.65     ,0.1233         
Shuttle   ,POPFNN      ,rule_based    ,10          ,N/A       ,97.31     ,N/A            
Shuttle   ,POPFNN      ,rule_based    ,20          ,N/A       ,97.63     ,N/A            
Shuttle   ,POPFNN      ,rule_based    ,50          ,N/A       ,97.72     ,N/A            
Gamma     ,LabelProp   ,LabelProp     ,10          ,N/A       ,78.36     ,N/A            
Gamma     ,LabelProp   ,LabelProp     ,20          ,N/A       ,80.30     ,N/A            
Gamma     ,LabelProp   ,LabelProp     ,50          ,N/A       ,82.88     ,N/A            
Gamma     ,HybridANFIS ,rule_based    ,10          ,N/A       ,78.18     ,0.0039         
Gamma     ,HybridANFIS ,rule_based    ,20          ,N/A       ,80.70     ,0.0088         
Gamma     ,HybridANFIS ,rule_based    ,50          ,N/A       ,81.35     ,0.0113         
Gamma     ,POPFNN      ,rule_based    ,10          ,N/A       ,82.81     ,N/A            
Gamma     ,POPFNN      ,rule_based    ,20          ,N/A       ,83.72     ,N/A            
Gamma     ,POPFNN      ,rule_based    ,50          ,N/A       ,85.45     ,N/A            
K_Chess   ,LabelProp   ,LabelProp     ,10          ,N/A       ,42.21     ,N/A            
K_Chess   ,LabelProp   ,LabelProp     ,20          ,N/A       ,48.96     ,N/A            
K_Chess   ,LabelProp   ,LabelProp     ,50          ,N/A       ,59.74     ,N/A            
K_Chess   ,HybridANFIS ,rule_based    ,10          ,N/A       ,25.12     ,-0.5468        
K_Chess   ,HybridANFIS ,rule_based    ,20          ,N/A       ,27.72     ,-0.5464        
K_Chess   ,HybridANFIS ,rule_based    ,50          ,N/A       ,34.54     ,-0.5465        
K_Chess   ,POPFNN      ,rule_based    ,10          ,N/A       ,38.58     ,N/A            
K_Chess   ,POPFNN      ,rule_based    ,20          ,N/A       ,40.83     ,N/A            
K_Chess   ,POPFNN      ,rule_based    ,50          ,N/A       ,47.05     ,N/A            
