Dataset   ,Model           ,SSL_Meth      ,Lab_Frac    ,Acc       
KChess    ,NoHybridANFIS   ,Supervised    ,0.10        ,44.24     
KChess    ,NoHybridANFIS   ,Rule‑GRF      ,0.10        ,40.96     
KChess    ,NoHybridANFIS   ,MF‑GRF        ,0.10        ,42.62     
KChess    ,NoHybridANFIS   ,Raw‑LP        ,0.10        ,41.46     
KChess    ,NoHybridANFIS   ,FMV‑CLP       ,0.10        ,37.83     
KChess    ,NoHybridANFIS   ,MV‑GRF        ,0.10        ,39.46     
KChess    ,NoHybridANFIS   ,AW‑MV‑GRF     ,0.10        ,39.33     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,39.30     
KChess    ,NoHybridANFIS   ,FAP           ,0.10        ,38.89     
KChess    ,NoHybridANFIS   ,Supervised    ,0.10        ,41.67     
KChess    ,NoHybridANFIS   ,Rule‑GRF      ,0.10        ,37.47     
KChess    ,NoHybridANFIS   ,MF‑GRF        ,0.10        ,41.53     
KChess    ,NoHybridANFIS   ,Raw‑LP        ,0.10        ,40.22     
KChess    ,NoHybridANFIS   ,FMV‑CLP       ,0.10        ,36.00     
KChess    ,NoHybridANFIS   ,MV‑GRF        ,0.10        ,36.90     
KChess    ,NoHybridANFIS   ,AW‑MV‑GRF     ,0.10        ,36.75     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,36.91     
KChess    ,NoHybridANFIS   ,FAP           ,0.10        ,35.84     
KChess    ,NoHybridANFIS   ,Supervised    ,0.10        ,41.15     
KChess    ,NoHybridANFIS   ,Rule‑GRF      ,0.10        ,36.95     
KChess    ,NoHybridANFIS   ,MF‑GRF        ,0.10        ,41.43     
KChess    ,NoHybridANFIS   ,Raw‑LP        ,0.10        ,40.22     
KChess    ,NoHybridANFIS   ,FMV‑CLP       ,0.10        ,35.65     
KChess    ,NoHybridANFIS   ,MV‑GRF        ,0.10        ,36.89     
KChess    ,NoHybridANFIS   ,AW‑MV‑GRF     ,0.10        ,36.59     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,36.39     
KChess    ,NoHybridANFIS   ,FAP           ,0.10        ,35.55     
KChess    ,NoHybridANFIS   ,Supervised    ,0.10        ,40.66     
KChess    ,NoHybridANFIS   ,Rule‑GRF      ,0.10        ,37.19     
KChess    ,NoHybridANFIS   ,MF‑GRF        ,0.10        ,41.01     
KChess    ,NoHybridANFIS   ,Raw‑LP        ,0.10        ,37.72     
KChess    ,NoHybridANFIS   ,FMV‑CLP       ,0.10        ,34.64     
KChess    ,NoHybridANFIS   ,MV‑GRF        ,0.10        ,36.68     
KChess    ,NoHybridANFIS   ,AW‑MV‑GRF     ,0.10        ,36.38     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,36.30     
KChess    ,NoHybridANFIS   ,FAP           ,0.10        ,35.49     
KChess    ,NoHybridANFIS   ,AW-MV-GRF     ,0.10        ,40.10     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,40.31     
KChess    ,NoHybridANFIS   ,AW-MV-GRF     ,0.10        ,38.64     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,38.55     
KChess    ,NoHybridANFIS   ,AW-MV-GRF     ,0.10        ,38.54     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,38.67     
KChess    ,NoHybridANFIS   ,AW-MV-GRF     ,0.10        ,37.73     
KChess    ,NoHybridANFIS   ,CLC‑MV‑GRF    ,0.10        ,37.71     
KChess    ,HybridANFIS     ,AW-MV-GRF     ,0.10        ,36.33     
KChess    ,HybridANFIS     ,CLC‑MV‑GRF    ,0.10        ,35.50     
KChess    ,HybridANFIS     ,AW-MV-GRF     ,0.10        ,34.53     
KChess    ,HybridANFIS     ,CLC‑MV‑GRF    ,0.10        ,35.90     
KChess    ,HybridANFIS     ,AW-MV-GRF     ,0.10        ,34.44     
KChess    ,HybridANFIS     ,CLC‑MV‑GRF    ,0.10        ,35.81     
KChess    ,HybridANFIS     ,AW-MV-GRF     ,0.10        ,33.71     
KChess    ,HybridANFIS     ,CLC‑MV‑GRF    ,0.10        ,35.29     
KChess    ,POPFNN          ,AW-MV-GRF     ,0.10        ,41.38     
KChess    ,POPFNN          ,CLC‑MV‑GRF    ,0.10        ,41.55     
KChess    ,POPFNN          ,AW-MV-GRF     ,0.10        ,40.80     
KChess    ,POPFNN          ,CLC‑MV‑GRF    ,0.10        ,40.91     
KChess    ,POPFNN          ,AW-MV-GRF     ,0.10        ,40.68     
KChess    ,POPFNN          ,CLC‑MV‑GRF    ,0.10        ,40.92     
KChess    ,POPFNN          ,AW-MV-GRF     ,0.10        ,39.72     
KChess    ,POPFNN          ,CLC‑MV‑GRF    ,0.10        ,40.00     
KChess    ,FMNC            ,AW-MV-GRF     ,0.10        ,39.82     
KChess    ,FMNC            ,CLC‑MV‑GRF    ,0.10        ,39.82     
KChess    ,FMNC            ,AW-MV-GRF     ,0.10        ,39.73     
KChess    ,FMNC            ,CLC‑MV‑GRF    ,0.10        ,39.73     
KChess    ,FMNC            ,AW-MV-GRF     ,0.10        ,39.75     
KChess    ,FMNC            ,CLC‑MV‑GRF    ,0.10        ,39.75     
KChess    ,FMNC            ,AW-MV-GRF     ,0.10        ,37.61     
KChess    ,FMNC            ,CLC‑MV‑GRF    ,0.10        ,37.61     
